,ID,City_Code,Region_Code,Accomodation_Type,Reco_Insurance_Type,Upper_Age,Lower_Age,Is_Spouse,Health Indicator,Holding_Policy_Duration,Holding_Policy_Type,Reco_Policy_Cat,Reco_Policy_Premium,Response
82,83,C9,52,Rented,Individual,21,21,No,X3,,,12,4728.0,1
83,84,C1,1944,Owned,Individual,29,29,No,X1,6.0,1.0,22,9660.0,0
85,86,C3,1506,Rented,Individual,30,30,No,X2,9.0,4.0,22,12420.0,0
88,89,C1,1154,Owned,Joint,66,64,Yes,X4,14.0,3.0,7,24192.0,1
89,90,C8,3514,Rented,Individual,22,22,No,X1,2.0,4.0,1,8246.0,0
92,93,C6,2100,Rented,Individual,39,39,No,X4,1.0,3.0,10,12960.0,0
93,94,C3,2103,Owned,Individual,66,66,No,X1,2.0,3.0,18,20100.0,0
96,97,C7,2024,Owned,Individual,24,24,No,,,,2,8162.0,1
99,100,C1,156,Rented,Individual,25,25,No,X4,2.0,3.0,16,8974.0,0
103,104,C2,203,Rented,Joint,38,36,Yes,X2,10.0,4.0,2,10440.0,0
104,105,C3,1057,Owned,Individual,45,45,No,X6,,,12,14208.0,1
105,106,C3,1691,Owned,Joint,41,37,Yes,X2,9.0,3.0,21,16790.4,0
113,114,C10,1780,Rented,Individual,27,27,No,X2,1.0,1.0,19,9884.0,0
118,119,C2,4149,Rented,Individual,35,35,No,X2,6.0,3.0,21,9856.0,0
122,123,C10,872,Owned,Individual,45,45,No,X2,,,3,17186.0,1
123,124,C2,1591,Rented,Individual,59,59,No,X2,,,14,12340.0,1
124,125,C15,4199,Rented,Individual,49,49,No,X3,4.0,1.0,16,15624.0,0
128,129,C34,150,Owned,Individual,38,38,No,X3,14.0,3.0,14,9456.0,0
130,131,C2,925,Rented,Individual,25,25,No,X3,2.0,3.0,21,4912.0,1
133,134,C1,843,Owned,Individual,35,35,No,X2,14.0,1.0,22,8302.0,0
134,135,C2,154,Owned,Individual,39,39,No,X2,2.0,3.0,18,7536.0,1
136,137,C16,1739,Owned,Joint,57,19,No,X1,1.0,1.0,22,27596.8,0
138,139,C1,3588,Owned,Individual,29,29,No,,4.0,3.0,18,6240.0,1
140,141,C9,1152,Owned,Individual,70,70,No,X6,4.0,3.0,4,15960.0,0
141,142,C16,2271,Rented,Individual,28,28,No,,3.0,2.0,21,8764.0,1
143,144,C13,626,Owned,Individual,43,43,No,X3,6.0,3.0,21,11250.0,0
145,146,C4,897,Owned,Joint,59,57,Yes,X3,1.0,3.0,7,24908.8,0
146,147,C16,2009,Rented,Joint,22,20,Yes,X3,,,5,7168.0,1
148,149,C3,3815,Rented,Individual,31,31,No,X2,1.0,3.0,16,10136.0,0
149,150,C2,746,Owned,Individual,38,38,No,X4,8.0,2.0,11,8302.0,0
150,151,C18,1178,Owned,Individual,62,62,No,X1,2.0,1.0,19,21344.0,0
151,152,C1,210,Owned,Individual,39,39,No,,11.0,3.0,18,13060.0,1
152,153,C3,1315,Rented,Individual,30,30,No,X1,7.0,3.0,18,8652.0,0
153,154,C11,662,Owned,Individual,67,67,No,X1,9.0,3.0,20,18048.0,0
154,155,C14,3127,Owned,Individual,58,58,No,X1,4.0,3.0,9,16744.0,0
155,156,C11,3591,Owned,Individual,71,71,No,X2,14.0,1.0,19,15262.0,0
156,157,C3,955,Rented,Joint,35,30,No,X4,,,12,10656.0,1
158,159,C4,1953,Owned,Individual,68,68,No,X5,5.0,3.0,21,14496.0,1
164,165,C2,2242,Rented,Individual,75,75,No,X4,4.0,3.0,21,20352.0,1
165,166,C27,1176,Owned,Joint,39,38,Yes,X4,14.0,3.0,17,12014.8,1
167,168,C2,2169,Owned,Individual,61,61,No,X2,1.0,3.0,11,15990.0,0
168,169,C1,3395,Owned,Individual,75,75,No,X4,14.0,2.0,17,19740.0,1
169,170,C6,2385,Owned,Individual,32,32,No,X4,4.0,3.0,21,11772.0,0
171,172,C11,319,Owned,Joint,62,52,Yes,X2,,,19,23692.8,1
173,174,C19,3476,Rented,Individual,57,57,No,X3,3.0,1.0,22,15574.0,0
174,175,C2,4659,Owned,Joint,74,49,Yes,X1,14.0,3.0,18,32544.0,0
175,176,C9,1183,Rented,Individual,44,44,No,X3,14.0,1.0,16,11740.0,0
176,177,C8,1042,Rented,Individual,49,49,No,X1,,,18,13464.0,1
177,178,C6,377,Owned,Individual,53,53,No,X2,1.0,2.0,17,12900.0,0
178,179,C18,513,Rented,Individual,26,26,No,X1,,,15,10764.0,1
179,180,C1,2342,Owned,Joint,65,63,Yes,X5,1.0,4.0,16,29280.0,0
180,181,C7,2503,Owned,Joint,51,16,No,X2,2.0,3.0,21,26499.2,0
181,182,C7,685,Rented,Individual,30,30,No,X2,4.0,3.0,18,11682.0,0
183,184,C9,1712,Owned,Joint,67,56,Yes,X2,,,22,26342.4,1
188,189,C7,1210,Owned,Individual,30,30,No,,8.0,3.0,21,11844.0,1
189,190,C4,1798,Owned,Individual,49,49,No,X3,3.0,3.0,12,13464.0,0
190,191,C4,2583,Rented,Individual,30,30,No,X1,6.0,3.0,12,10098.0,0
191,192,C16,1262,Rented,Individual,22,22,No,X1,,,19,9254.0,1
192,193,C2,2982,Rented,Individual,72,72,No,X6,,,14,17444.0,1
193,194,C2,3340,Rented,Individual,24,24,No,X3,2.0,3.0,3,5768.0,0
194,195,C33,2757,Owned,Individual,49,49,No,X4,1.0,4.0,17,17004.0,1
196,197,C4,3962,Owned,Individual,49,49,No,X3,5.0,1.0,18,10656.0,0
197,198,C1,1327,Owned,Individual,75,75,No,X1,3.0,3.0,22,25308.0,0
198,199,C11,2340,Owned,Individual,75,75,No,X1,3.0,3.0,22,21744.0,1
199,200,C9,2406,Rented,Individual,25,25,No,X3,5.0,1.0,4,6110.0,0
201,202,C1,8,Rented,Individual,67,67,No,X3,5.0,1.0,5,14832.0,0
203,204,C6,231,Rented,Individual,22,22,No,X1,2.0,3.0,22,10336.0,0
206,207,C3,2232,Owned,Joint,50,49,Yes,X1,,,18,24539.2,1
207,208,C7,3350,Owned,Joint,61,30,Yes,X2,5.0,1.0,19,21840.0,1
208,209,C2,302,Rented,Individual,58,58,No,X2,,,16,18956.0,1
211,212,C15,1342,Owned,Individual,66,66,No,X3,6.0,3.0,18,17368.0,1
213,214,C1,1647,Rented,Individual,24,24,No,X1,1.0,1.0,12,5840.0,0
214,215,C20,1939,Rented,Individual,23,23,No,X1,,,14,3264.0,1
215,216,C1,5127,Rented,Individual,27,27,No,X1,,,12,4848.0,1
216,217,C2,910,Owned,Individual,58,58,No,X5,2.0,4.0,17,16996.0,0
218,219,C3,748,Owned,Individual,55,55,No,,,,16,17500.0,1
219,220,C3,3029,Owned,Joint,72,69,Yes,X2,14.0,3.0,18,33264.0,1
220,221,C2,599,Owned,Individual,75,75,No,X2,9.0,4.0,17,18600.0,0
221,222,C13,5742,Owned,Individual,75,75,No,X5,,,8,19552.0,1
222,223,C6,2391,Rented,Individual,29,29,No,X3,1.0,3.0,22,9128.0,0
223,224,C9,915,Owned,Individual,24,24,No,X3,4.0,4.0,21,10048.0,0
225,226,C5,75,Rented,Individual,26,26,No,X1,1.0,3.0,9,12726.0,0
228,229,C15,1579,Rented,Individual,22,22,No,X1,2.0,1.0,21,4344.0,0
229,230,C18,3646,Rented,Joint,40,39,Yes,X1,3.0,2.0,1,12275.2,0
230,231,C6,1983,Rented,Individual,25,25,No,X1,5.0,1.0,21,9548.0,0
231,232,C28,4277,Rented,Individual,48,48,No,X6,,,12,14160.0,1
236,237,C1,3395,Rented,Individual,52,52,No,X6,,,20,11484.0,1
237,238,C1,4756,Owned,Individual,70,70,No,X1,,,17,20706.0,1
238,239,C3,567,Owned,Joint,31,28,Yes,X4,4.0,3.0,18,13053.6,0
242,243,C1,2383,Owned,Joint,64,61,Yes,X1,9.0,1.0,19,22041.6,0
243,244,C26,829,Owned,Individual,66,66,No,X3,9.0,3.0,18,21080.0,0
246,247,C7,3166,Rented,Individual,34,34,No,X4,4.0,3.0,22,12840.0,1
247,248,C2,1934,Owned,Individual,45,45,No,,14.0,3.0,22,14036.0,1
249,250,C1,46,Owned,Individual,38,38,No,X5,13.0,3.0,8,15312.0,0
250,251,C2,2194,Rented,Joint,33,32,Yes,X4,,,18,12426.4,1
251,252,C2,1276,Rented,Individual,41,41,No,X4,3.0,1.0,12,10592.0,0
252,253,C3,851,Owned,Joint,48,45,Yes,X1,1.0,1.0,9,19600.0,0
254,255,C4,191,Rented,Individual,22,22,No,X2,1.0,1.0,15,6540.0,0
255,256,C4,742,Rented,Individual,54,54,No,X2,14.0,3.0,17,14400.0,1
256,257,C15,2550,Owned,Individual,27,27,No,,,,16,6700.0,1
257,258,C11,1770,Rented,Individual,24,24,No,X2,,,21,7812.0,1
258,259,C1,1128,Rented,Individual,26,26,No,X2,2.0,3.0,22,7056.0,0
259,260,C2,316,Owned,Joint,35,34,Yes,X4,5.0,3.0,21,20192.0,0
261,262,C17,160,Owned,Individual,42,42,No,X1,14.0,1.0,19,13926.0,0
262,263,C9,5146,Rented,Individual,38,38,No,X2,2.0,1.0,4,13000.0,0
264,265,C1,581,Owned,Joint,56,23,Yes,X1,14.0,1.0,1,21705.6,0
265,266,C19,1380,Rented,Individual,63,63,No,,,,19,18512.0,1
268,269,C1,1561,Rented,Individual,30,30,No,X3,,,18,6750.0,1
272,273,C1,3886,Rented,Individual,22,22,No,X1,,,20,7992.0,1
276,277,C3,2628,Rented,Individual,35,35,No,X2,,,16,14586.0,1
277,278,C2,654,Owned,Individual,75,75,No,X4,3.0,4.0,3,23400.0,0
278,279,C7,919,Owned,Joint,48,37,Yes,X2,5.0,1.0,19,22349.6,0
279,280,C2,1306,Rented,Individual,24,24,No,X1,4.0,3.0,21,9632.0,1
280,281,C2,154,Rented,Individual,62,62,No,X2,9.0,1.0,11,14586.0,1
284,285,C1,616,Owned,Individual,52,52,No,X4,,,17,14928.0,1
285,286,C4,1333,Rented,Individual,40,40,No,X4,3.0,2.0,21,13420.0,0
287,288,C1,2272,Owned,Individual,61,61,No,X3,11.0,1.0,19,20800.0,0
289,290,C21,5225,Owned,Individual,58,58,No,X3,5.0,1.0,13,13508.0,0
290,291,C1,461,Owned,Individual,71,71,No,X2,14.0,1.0,18,17864.0,0
291,292,C1,434,Rented,Individual,43,43,No,X1,12.0,1.0,22,10112.0,0
294,295,C3,2763,Owned,Individual,50,50,No,X1,1.0,3.0,17,11160.0,1
295,296,C4,139,Owned,Individual,35,35,No,X1,5.0,3.0,6,9648.0,0
296,297,C2,3812,Rented,Individual,28,28,No,X1,4.0,3.0,20,10612.0,1
299,300,C3,1821,Rented,Joint,55,36,No,X2,7.0,2.0,18,22422.4,0
301,302,C4,70,Rented,Joint,47,35,Yes,X6,1.0,1.0,18,16027.2,0
303,304,C3,55,Rented,Individual,22,22,No,,,,22,9282.0,1
304,305,C17,1013,Rented,Individual,50,50,No,X1,7.0,2.0,12,11340.0,0
307,308,C2,2903,Owned,Individual,53,53,No,X2,,,15,14712.0,1
308,309,C2,864,Owned,Individual,75,75,No,X4,3.0,3.0,14,23076.0,0
312,313,C1,1383,Rented,Joint,57,50,Yes,X2,7.0,3.0,20,22531.6,0
313,314,C19,655,Rented,Individual,31,31,No,X1,1.0,1.0,19,9366.0,1
314,315,C1,2222,Rented,Individual,39,39,No,X2,8.0,1.0,16,7548.0,0
318,319,C2,1707,Owned,Individual,45,45,No,X4,8.0,4.0,15,12760.0,1
319,320,C7,389,Owned,Individual,22,22,No,,,,15,8568.0,1
321,322,C18,1546,Rented,Individual,22,22,No,X2,,,22,7716.0,1
322,323,C10,1796,Rented,Individual,26,26,No,X3,1.0,3.0,21,11772.0,0
324,325,C1,3635,Rented,Individual,35,35,No,X2,7.0,1.0,19,8508.0,0
325,326,C7,2588,Rented,Individual,47,47,No,,,,12,9568.0,1
327,328,C1,268,Owned,Individual,72,72,No,X4,7.0,3.0,21,21984.0,0
330,331,C21,5153,Owned,Individual,40,40,No,X5,10.0,3.0,14,12848.0,0
332,333,C7,196,Owned,Individual,60,60,No,X3,,,12,14728.0,1
336,337,C3,28,Rented,Individual,22,22,No,,,,21,6780.0,1
338,339,C18,3328,Owned,Joint,75,22,No,X1,5.0,2.0,17,32659.2,0
339,340,C20,414,Rented,Individual,23,23,No,,,,22,4896.0,1
340,341,C21,5203,Rented,Individual,35,35,No,X2,12.0,1.0,20,9920.0,1
342,343,C9,995,Rented,Individual,60,60,No,X4,4.0,3.0,21,15072.0,0
343,344,C17,3742,Owned,Individual,51,51,No,X2,14.0,2.0,18,18116.0,1
345,346,C2,746,Owned,Individual,58,58,No,X2,,,3,12140.0,1
347,348,C3,41,Rented,Individual,40,40,No,X4,7.0,4.0,16,10496.0,0
351,352,C2,1322,Owned,Individual,43,43,No,X1,14.0,3.0,22,10288.0,1
354,355,C4,2658,Rented,Individual,65,65,No,,2.0,1.0,19,18810.0,1
355,356,C9,3503,Owned,Joint,50,49,Yes,X5,5.0,4.0,4,18633.6,0
356,357,C22,1511,Rented,Individual,21,21,No,X2,,,16,6900.0,1
358,359,C23,1374,Rented,Individual,25,25,No,X3,5.0,3.0,20,7572.0,0
359,360,C2,3400,Rented,Individual,22,22,No,X4,,,22,9926.0,1
360,361,C7,5777,Owned,Joint,60,58,Yes,X8,6.0,4.0,2,22134.0,0
363,364,C1,5,Owned,Joint,60,53,Yes,X1,1.0,1.0,16,25116.0,0
364,365,C25,2451,Rented,Individual,33,33,No,X1,3.0,3.0,21,8386.0,0
365,366,C9,10,Owned,Joint,73,67,Yes,X1,2.0,3.0,21,31046.4,1
366,367,C2,3728,Owned,Joint,48,19,No,X4,10.0,3.0,15,19373.2,1
368,369,C22,2108,Rented,Individual,25,25,No,X1,4.0,3.0,18,11178.0,1
370,371,C9,1009,Owned,Individual,55,55,No,X4,1.0,3.0,4,12460.0,0
371,372,C4,942,Rented,Individual,40,40,No,X1,,,22,9254.0,1
373,374,C8,5240,Owned,Joint,45,44,Yes,X4,6.0,3.0,1,19470.0,0
374,375,C1,1260,Owned,Joint,44,43,Yes,X2,,,21,21564.0,1
376,377,C2,4300,Owned,Individual,41,41,No,X4,3.0,3.0,14,11682.0,0
379,380,C23,1,Owned,Individual,68,68,No,X1,3.0,1.0,18,18656.0,0
380,381,C2,3598,Rented,Individual,64,64,No,X1,8.0,1.0,2,18340.0,0
382,383,C33,2063,Owned,Individual,59,59,No,X7,4.0,4.0,16,14496.0,0
383,384,C2,661,Owned,Individual,28,28,No,X1,1.0,3.0,22,6460.0,1
386,387,C10,1253,Rented,Individual,25,25,No,X1,2.0,1.0,2,4736.0,1
387,388,C1,4529,Rented,Joint,59,55,Yes,X1,14.0,3.0,22,26796.0,0
389,390,C10,405,Owned,Joint,54,48,Yes,X2,3.0,3.0,18,23520.0,0
392,393,C3,1243,Owned,Joint,58,27,No,X3,4.0,3.0,18,23712.0,1
393,394,C24,1104,Owned,Individual,74,74,No,X1,4.0,2.0,20,22134.0,0
394,395,C15,902,Rented,Individual,53,53,No,X3,2.0,1.0,22,15144.0,1
395,396,C11,1590,Owned,Joint,54,52,Yes,X2,3.0,3.0,21,25500.8,1
396,397,C28,762,Rented,Individual,25,25,No,X3,1.0,1.0,1,5160.0,0
397,398,C2,463,Rented,Individual,50,50,No,X3,,,18,18452.0,1
398,399,C1,410,Rented,Individual,27,27,No,X3,1.0,3.0,16,8134.0,0
399,400,C2,1834,Rented,Individual,52,52,No,X1,10.0,1.0,3,12978.0,0
400,401,C9,1022,Owned,Individual,37,37,No,X4,2.0,4.0,17,13300.0,0
404,405,C9,103,Rented,Individual,24,24,No,X1,,,17,4248.0,1
405,406,C9,2712,Owned,Joint,73,28,No,X2,14.0,2.0,12,26873.6,1
406,407,C2,2768,Owned,Individual,68,68,No,X1,,,3,19616.0,1
407,408,C7,961,Owned,Individual,33,33,No,X2,10.0,3.0,5,9744.0,0
413,414,C4,628,Owned,Individual,44,44,No,X1,1.0,4.0,18,10782.0,0
414,415,C19,988,Owned,Individual,65,65,No,X2,1.0,1.0,1,18150.0,0
415,416,C19,2111,Owned,Individual,68,68,No,X2,11.0,3.0,2,17376.0,0
418,419,C10,29,Rented,Individual,51,51,No,X2,4.0,1.0,18,14180.0,0
421,422,C7,3453,Rented,Individual,22,22,No,,,,22,3966.0,1
422,423,C7,1497,Rented,Individual,61,61,No,X1,,,15,13112.0,1
423,424,C9,1788,Owned,Individual,50,50,No,,,,22,16120.0,1
424,425,C11,750,Owned,Joint,35,16,No,X2,1.0,3.0,14,17366.4,0
428,429,C2,2853,Owned,Individual,61,61,No,X2,14.0,3.0,18,15678.0,1
429,430,C2,107,Rented,Joint,24,21,No,X1,1.0,4.0,14,10802.4,1
430,431,C3,42,Owned,Individual,40,40,No,X3,5.0,1.0,19,13060.0,0
432,433,C3,835,Owned,Individual,47,47,No,,1.0,2.0,20,12780.0,1
435,436,C1,578,Owned,Joint,44,17,No,X1,7.0,1.0,22,18176.0,1
438,439,C1,1149,Rented,Individual,29,29,No,X2,,,16,6500.0,1
439,440,C20,701,Rented,Joint,36,29,Yes,X2,2.0,2.0,21,15120.0,1
440,441,C20,1893,Rented,Individual,28,28,No,X2,1.0,3.0,22,10176.0,0
443,444,C19,1408,Owned,Individual,27,27,No,,,,19,6970.0,1
447,448,C2,1986,Owned,Joint,63,62,Yes,,14.0,3.0,3,29025.0,1
448,449,C6,1251,Owned,Individual,28,28,No,X3,3.0,3.0,4,9776.0,0
451,452,C4,70,Rented,Individual,75,75,No,X2,11.0,1.0,18,21896.0,0
455,456,C11,480,Owned,Individual,58,58,No,X7,,,20,18150.0,1
456,457,C9,3760,Rented,Individual,40,40,No,X4,2.0,4.0,2,7770.0,0
459,460,C9,518,Rented,Individual,22,22,No,X1,,,21,7380.0,1
460,461,C2,2613,Rented,Joint,40,38,Yes,X1,8.0,3.0,11,14716.8,0
461,462,C2,746,Rented,Individual,48,48,No,X6,4.0,2.0,2,14608.0,1
464,465,C2,5002,Owned,Individual,55,55,No,X3,2.0,3.0,21,14760.0,1
465,466,C4,3202,Rented,Individual,26,26,No,X1,4.0,3.0,21,6600.0,0
467,468,C1,4160,Owned,Individual,56,56,No,X2,13.0,3.0,22,19290.0,0
469,470,C29,1168,Owned,Joint,69,66,Yes,X2,10.0,3.0,14,27308.8,0
470,471,C34,391,Rented,Individual,22,22,No,,,,22,5568.0,1
471,472,C20,1893,Rented,Joint,67,56,Yes,X1,1.0,3.0,18,30321.2,0
472,473,C11,3263,Owned,Individual,57,57,No,X1,4.0,2.0,20,16510.0,1
473,474,C2,1373,Rented,Individual,22,22,No,X1,,,22,5408.0,1
476,477,C16,1273,Rented,Individual,73,73,No,,3.0,2.0,20,20876.0,1
477,478,C20,701,Owned,Individual,41,41,No,X1,3.0,3.0,21,9280.0,0
478,479,C18,893,Owned,Individual,55,55,No,X3,14.0,2.0,19,15168.0,0
481,482,C1,4125,Rented,Individual,23,23,No,,,,16,10592.0,1
483,484,C4,1202,Owned,Joint,70,44,No,X4,1.0,3.0,2,26640.0,0
484,485,C22,2,Rented,Individual,21,21,No,X1,,,14,3456.0,1
487,488,C1,313,Owned,Joint,31,25,Yes,X1,4.0,3.0,20,18333.0,0
488,489,C8,4585,Rented,Individual,39,39,No,X1,6.0,2.0,20,12582.0,0
490,491,C29,112,Owned,Joint,50,47,Yes,X4,1.0,1.0,6,17970.0,0
491,492,C1,869,Owned,Joint,60,58,Yes,X1,4.0,3.0,19,18916.8,0
499,500,C2,2452,Rented,Individual,75,75,No,X2,4.0,3.0,21,18396.0,0
501,502,C2,903,Owned,Individual,60,60,No,X1,2.0,3.0,18,18944.0,0
502,503,C2,2995,Owned,Individual,53,53,No,X3,1.0,4.0,17,16458.0,0
504,505,C2,2065,Owned,Individual,56,56,No,,,,22,17332.0,1
505,506,C14,4247,Owned,Individual,51,51,No,X1,2.0,3.0,22,11232.0,0
506,507,C2,2729,Rented,Individual,30,30,No,X1,4.0,2.0,13,7800.0,0
507,508,C9,2172,Rented,Individual,23,23,No,X4,3.0,1.0,6,4152.0,0
508,509,C2,1564,Owned,Individual,25,25,No,X4,1.0,4.0,3,12582.0,0
509,510,C7,919,Owned,Individual,57,57,No,,2.0,3.0,15,14040.0,1
510,511,C7,274,Owned,Joint,39,19,Yes,X6,5.0,1.0,19,12831.0,0
511,512,C1,888,Rented,Individual,22,22,No,X6,,,19,3804.0,1
512,513,C2,1888,Owned,Individual,70,70,No,X5,,,18,25596.0,1
513,514,C6,2391,Owned,Individual,33,33,No,X2,2.0,2.0,16,8988.0,1
515,516,C9,880,Owned,Individual,31,31,No,X1,1.0,3.0,15,8386.0,0
518,519,C13,402,Owned,Individual,57,57,No,,,,16,12826.0,1
520,521,C9,66,Rented,Individual,32,32,No,X4,1.0,1.0,22,12042.0,0
521,522,C1,606,Owned,Joint,75,74,Yes,X4,6.0,4.0,18,33292.8,0
522,523,C10,3138,Rented,Individual,23,23,No,X3,,,18,4038.0,1
523,524,C2,1892,Rented,Individual,23,23,No,X1,2.0,3.0,11,3822.0,0
526,527,C4,589,Rented,Individual,41,41,No,X1,1.0,1.0,16,9856.0,0
527,528,C33,1874,Rented,Individual,30,30,No,X1,3.0,2.0,1,6960.0,0
529,530,C1,2576,Rented,Individual,28,28,No,X1,,,20,12294.0,1
535,536,C7,1210,Owned,Individual,51,51,No,X6,3.0,1.0,16,17724.0,0
537,538,C2,2145,Rented,Individual,31,31,No,X2,5.0,3.0,18,12340.0,0
539,540,C15,3330,Rented,Individual,26,26,No,X3,2.0,1.0,2,5064.0,0
541,542,C3,962,Rented,Individual,60,60,No,X1,2.0,1.0,16,16744.0,0
542,543,C1,4529,Rented,Individual,64,64,No,X2,7.0,3.0,18,21152.0,0
544,545,C3,4260,Rented,Individual,45,45,No,X4,5.0,2.0,20,11970.0,0
548,549,C3,1217,Owned,Joint,51,26,No,X2,5.0,4.0,17,25536.0,1
550,551,C7,619,Owned,Individual,75,75,No,X1,14.0,4.0,22,20774.0,0
551,552,C1,1443,Owned,Individual,57,57,No,X3,9.0,2.0,13,11940.0,0
552,553,C12,115,Rented,Individual,25,25,No,X6,2.0,1.0,19,9072.0,0
554,555,C9,1043,Owned,Individual,58,58,No,X3,,,18,14328.0,1
557,558,C8,1843,Owned,Individual,74,74,No,X2,13.0,3.0,12,20268.0,0
559,560,C6,143,Rented,Individual,32,32,No,X2,3.0,1.0,20,11880.0,0
560,561,C2,3528,Rented,Individual,23,23,No,X1,,,18,11216.0,1
561,562,C2,706,Owned,Individual,43,43,No,X2,2.0,3.0,11,14160.0,1
562,563,C1,1662,Owned,Joint,72,71,Yes,X2,3.0,3.0,17,33347.2,0
569,570,C6,2609,Owned,Individual,69,69,No,X2,4.0,3.0,9,15704.0,1
570,571,C1,1436,Owned,Individual,67,67,No,X2,,,20,17820.0,1
571,572,C2,2168,Owned,Individual,44,44,No,X5,2.0,3.0,18,12816.0,1
572,573,C27,1097,Rented,Individual,21,21,No,X4,1.0,1.0,21,4152.0,0
575,576,C11,3436,Rented,Individual,61,61,No,X1,6.0,1.0,20,17472.0,0
576,577,C5,5351,Owned,Individual,28,28,No,X4,4.0,1.0,18,7368.0,0
577,578,C21,5524,Owned,Joint,29,22,Yes,X3,,,15,9296.0,1
579,580,C2,3632,Owned,Individual,43,43,No,X2,6.0,3.0,14,9030.0,0
581,582,C20,317,Rented,Individual,21,21,No,X1,1.0,4.0,10,5008.0,0
582,583,C4,262,Owned,Individual,72,72,No,X3,14.0,3.0,6,20502.0,0
584,585,C7,935,Owned,Individual,42,42,No,X4,3.0,2.0,15,13608.0,0
